Org Name,Total Assets,Total Revenue,Number of Employees
1000 Islands Charity Poker Run Corp,16179.0,76398.0,0.0
1035 Osage Inc,39696053.0,0.0,0.0
1014 Inc,16570.0,596958.0,3.0
10 Chefs Inc,9456.0,299719.0,0.0
100X Harvest Inc,8980.0,66384.0,0.0
100 Plus Heartbeats for Patches Inc,8313.0,73219.0,0.0
100 Black Men of Las Vegas Inc,78020.0,67947.0,0.0
1 FOX 2 PRODUCTIONS INC,29960.0,229212.0,3.0
100 Black Men of the Bay Area Charter Schools,106177.0,995695.0,0.0
100REPORTERS,123580.0,532498.0,1.0
10000 Years Institute,87188.0,422336.0,23.0
100 Treetops Lane Investment Group LLC,44575456.0,3427802.0,0.0
1% For The Planet Inc,1571772.0,2085201.0,20.0
1000 FRIENDS OF OREGON,4011867.0,1530877.0,22.0
1000 Friends of Oregon Foundation,0.0,42413.0,0.0
'Lawyers Committee for Civil Rights of the San Francisco Bay Area,2196139.0,2392211.0,28.0
100 Spear Street Owners Corp,0.0,0.0,0.0
100 Black Men of The Bay Area,264958.0,480433.0,0.0
100 Oak Street Corporation,1053775.0,0.0,0.0
1020 Iowa Avenue Inc,13269697.0,514300.0,0.0
"10,000 Degrees",16275495.0,12867452.0,88.0
100 Black Men of Los Angeles Inc,84637.0,48181.0,0.0
1010 Development Corporation,4466204.0,381421.0,12.0
1010 Senior Housing Corporation,4194372.0,592964.0,4.0
1 2 3 Christian Mission,8726.0,233401.0,5.0
100 Th Infantry Battalion Veterans,2413776.0,147464.0,1.0
Boy Scouts of America Council,3988019.0,559263.0,34.0
Greater Holyoke Chamber Centennial Foundation Inc,418389.0,749682.0,18.0
Shriners International,1305274.0,104262.0,0.0
Amalgated Transit Union,2285662.0,2004662.0,31.0
International Brotherhood of Electrical Workers,4941609.0,4470355.0,48.0
Haitian Evangelical Missionary Group,228038.0,34463.0,0.0
Bayville Fire Company Inc,5066389.0,1287971.0,3.0
Belle Harbor Yacht Club Corp,359106.0,549273.0,1.0
Benevolent & Protective Order of Elks of the USA,3089334.0,180770.0,5.0
Biltmore Beach Club Inc,313550.0,579451.0,140.0
Brooklyn Board of Realtors Inc,250157.0,126063.0,0.0
American Federation of Labor & Congress of Industrial Orgs,598706.0,473682.0,5.0
Cherry Valley Club Inc,13207367.0,7939043.0,183.0
United Union of Roofers Waterproofers & Allied Workers,636981.0,673817.0,7.0
Glen Cove Hospital,134546000.0,146534058.0,1199.0
Long Beach Medical Center,2092024.0,944979.0,0.0
Floyd Memorial Library,2403766.0,1072530.0,17.0
Amalgamated Union Local 1 N O I T U,5631336.0,473429.0,9.0
Noitu Insurance Trust Fund,109897303.0,44628002.0,101.0
Deepdale Gardens Community Council Inc,0.0,182833.0,37.0
Irish-American Society of Nassau Suffolk & Queens Inc,813344.0,358369.0,3.0
Saltaire Yacht Club Inc,2683735.0,777203.0,7.0
Advanced Center for Psychotherapy Inc,829043.0,5158761.0,45.0
Southeast Nassau Guidance Center Inc,917987.0,3812497.0,98.0
Local 1931 Health Benefit Fund,0.0,0.0,0.0
United Food and Commercial Workers International Union,1413639.0,5600777.0,24.0
Green Harbour Beach Club Inc,82083.0,194630.0,0.0
National Organization of Industrial Trade Unions,6901557.0,2044097.0,8.0
4 Court Square Corporation,1188975.0,140460.0,0.0
TOWNWIDE FUND OF HUNTINGTON INC,476500.0,226618.0,1.0
Production Workers Union Afl Cio Local 148,0.0,329933.0,2.0
Bay Shore Yacht Club Inc,485541.0,217270.0,11.0
Communication Workers of America 1104 CWA,6295295.0,3660054.0,131.0
Suffolk Hearing & Speech Center Inc,0.0,0.0,0.0
MT Sinai Yacht Club Inc,1038875.0,746941.0,34.0
Visiting Nurse Association of Long Island Inc,764648.0,1977073.0,118.0
Little League Baseball Inc,74232.0,43953.0,0.0
William D Wernicoff Childrens Foundation of Esquire Lodge Inc,188364.0,41932.0,0.0
Friends of Bridge Inc,309099.0,639784.0,9.0
Council of Administrators & Supervisors 12 SASOC AFL-CIO,463196.0,872363.0,2.0
American Postal Workers Union,335400.0,790603.0,39.0
Southside United Housing Development Fund Corp,6636965.0,3812420.0,47.0
Queens Museum of Art New York City Building,40552218.0,5518473.0,148.0
New York Psychotherapy and Counseling Center,130015163.0,57789354.0,422.0
Dayton Soehlke Ohlhorst Veterans Memorial Inc,1462319.0,86529.0,0.0
Italian American Civil Rights League Canarsie Inc,521861.0,2828829.0,130.0
Hallockville Inc,1096607.0,263102.0,14.0
Suffolk County Municipal Employees Benefit Fund,29282571.0,12959265.0,10.0
Inter-Media Art Center,146970.0,30543.0,1.0
Edward Dougherty Memorial Trust Fund,160576.0,19597.0,0.0
Northport Cow Harbor United Soccer Club,83267.0,522990.0,0.0
Astoria Restoration Association,6271.0,109931.0,0.0
Catholic Charities Progress of Development Corporation,88755172.0,3794638.0,0.0
New York State Association of Health Care Providers Inc,871266.0,1062367.0,10.0
Empire Hose Company 3 Inc,2295541.0,549953.0,0.0
Federal Law Enforcement Officers Association Inc,1712982.0,3554638.0,0.0
Syosset Soccer Club Inc,282173.0,699146.0,0.0
Morgan Park Summer Music Festival Association Inc,4541862.0,155844.0,0.0
Dentcare Delivery Systems Inc,21134859.0,61772087.0,7.0
Port Jefferson Fire Dept Inc,544109.0,115013.0,0.0
Art League of Long Island,3037816.0,1398140.0,100.0
James Ewing Foundation,720415.0,497844.0,0.0
Contact Collaborations Inc,126187.0,103729.0,7.0
Suffolk County Court Employees Association Inc,215060.0,335228.0,6.0
Yeshiva Headstart,456682.0,3137663.0,111.0
Composition Roofers Industry Promotional Fund,133162.0,15569.0,0.0
Southwest Brooklyn Industrial Development Corporation,361187.0,1514170.0,13.0
Nephrology Foundation of Brooklyn,0.0,17253177.0,0.0
Navat Yisrael Inc,430001.0,195551.0,0.0
The League of the Parker Jewish Institute for Healthcare & Rehabil,677415.0,102497.0,0.0
Outreach Development Corporation,28158897.0,25053872.0,418.0
"Dystrophic Epidermolysis Bullosa Research Association of America, Inc.",2407080.0,1561298.0,11.0
Center for Dispute Settlement Inc,239009.0,1444956.0,29.0
Good Samaritan Hospital Self Insurance Against Malpractice Trus,4419862.0,157573.0,0.0
Conchologists of America Inc,570871.0,54591.0,0.0
Bric,22414649.0,16324049.0,484.0
North Lindenhurst Volunteer Fire Department Inc,4973220.0,2024371.0,34.0
Seaside Summer Concert Series Inc,263478.0,306026.0,4.0
Designers Lighting Forum of New York Incorporated,1421301.0,480973.0,0.0
Civil Service Employees Association,578665.0,277001.0,9.0
Police Benevolant Association,243666.0,271901.0,0.0
New York Association of Mortgage Brokers Inc,292697.0,229419.0,0.0
Franklin Square Raiders Soccer Club,27887.0,221843.0,0.0
Flatbush Ave District Management Association,189021.0,414355.0,0.0
Myrtle Avenue District Management Association Inc,138140.0,551896.0,0.0
Eastern NY Senior Soccer Association,77495.0,191200.0,0.0
Federation of Hellenic Societies of Greater New York Inc,1151020.0,567689.0,1.0
Alternatives for Children,10754838.0,17516756.0,420.0
Brooklyn Hospital Foundation Inc,3520558.0,1329705.0,0.0
Yankef & Leibisch Family Circle,644612.0,136.0,0.0
Friends Circle Organization of Yeshiva Harambam U Beit YOSEF Inc,27998.0,114578.0,0.0
Iglesia Cristiana Valle De Jesus Inc,147867.0,151317.0,0.0
Farmingdale Midget Football Association Inc,13226.0,87566.0,0.0
Iglesia Apostolica Fuente Del Libano Efesio 220,1903708.0,214290.0,0.0
Terryville Fire Department Inc,479006.0,121276.0,0.0
Little League Baseball Inc,19175.0,26492.0,0.0
Long Island Community Hospital,19356695.0,2120847.0,0.0
New York Association of Dealers in Paper Mills Supplies Inc,0.0,15425.0,0.0
International African Arts Festival,54591.0,382814.0,10.0
Flushing Chinese Business Association Inc,69164.0,284714.0,1.0
Northwell Healthcare Inc,2557524622.0,1587832266.0,7813.0
Zichron Shloma Refuah Fund Inc,5536.0,328328.0,0.0
Yeshivat Lelluv of Jerusalem Inc,14724.0,272083.0,0.0
South Fork Natural History Society,2460050.0,1049406.0,11.0
Woodhull Medical & Mental Health Center Auxiliary Inc,1714159.0,672560.0,0.0
Les Dames D Escoffier International Inc,839099.0,723479.0,0.0
Long Island Golf Association Inc,294334.0,337751.0,3.0
Miracle Makers of Bed-Stuy Housing Development Fund Company Inc,2308976.0,298370.0,3.0
Greater Port Jefferson Chamber of Commerce Inc,5792.0,150702.0,0.0
Medford Fire Department Inc,433363.0,190207.0,0.0
Port Washington Fire Department Inc,3677715.0,4092201.0,25.0
Incorporated Society of Saint Maria Del Buoncammino NY,856292.0,112868.0,0.0
National Children Leukemia Foundation Inc,242871.0,468645.0,4.0
Monsignor Henry J Reel Housing Development Fund CO Inc,2571127.0,666469.0,0.0
