"Org Name","EIN","Current FY Start","Current FY End","Ruling Year","Form Year","Form Type","Address Line 1","Address Line 2","City","State","County",Zip,"Org Phone Number","Web Address","IRS Subsection","Subject Area 1","Subject Area 2","Subject Area 3","NTEE Code","NAICS Code","SIC Code1","SIC Code2","Audit Required?","Has filed 990T?","Paid Preparer Firm Name","Link to GS Profile Page","Link to most recent Form 990","Total Assets","Cash & Equivalent","Investments Securities","Net Assets","Temporarily Restricted Net Assets","Permanently Restricted Net Assets","Unrestricted Net Assets","Total Revenue","Gross Receipts","Investment Income","Total Contributions","Government Grants","Special Events","Sales","Program Services Revenue","Total Liabilities","Loans and Notes","Tax-Exempt Bond Liabilities","Total Expenses","Total Program Expenses","Total Administrative Expenses","Total Fundraising Expenses","Accounting Fees","Advertising Expenses","Information Technology Expenses","Insurance Expenses","Interest Expenses","Investment Management Fees","Legal Fees","Pension Plan Contributions   Employee Benefits","Printing and Publications","Professional Fundraising Expenses","Principal Officer","Org Leader","Primary Contact Name","Primary Contact Title","Primary Contact Email","Number of Employees"
"TOPS for You, Inc.","11-2799081","2011-07-01","2012-06-30","1986","2011","990","366 Cornelia St","","Brooklyn","NY","Kings",="11237","718-456-4653","","501(c)(3) Public Charity","Adolescent parenting","Child care","Community service for youth","O51 (Youth Community Service Clubs)","813410","8641","8699","N","","","http://www.guidestar.org/profile/11-2799081","http://www.guidestar.org/FinDocuments/2012/112/799/2012-112799081-095e198a-9.pdf","$114,252","$4,220","","$111,252","","","$111,252","$186,228","$186,228","","$82,651","","","","$103,577","$3,000","$0","","$190,265","$188,765","$1,500","","$1,500","","","$5,517","","","","","","","SANDRA TORRES","Sister Elizabeth Nickels ","Sister Elizabeth Nickels ","Executive Director","balcony3@aol.com","7"
"Citizens Committee for A Long Islan D Power Authority Inc","11-2800256","","","1986","","","265 W Main St","","Babylon","NY","Suffolk",="11702","","","501(c)(4) (Civic Leagues and Social Welfare Organizations)","Education","","","B99 (Education N.E.C.)","611","","","","","","http://www.guidestar.org/profile/11-2800256","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Beta Alpha Psi National Council","11-2808691","","","1974","","","8000 Utopia Pkwy","","Jamaica","NY","Queens",="11439","","","501(c)(3) Public Charity","Sororities and fraternities","","","B83 (Student Sororities, Fraternities)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-2808691","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Homes Fund Inc","11-2808943","2018-01-01","2018-12-31","1986","2018","990EZ","3820 Bowne St Apt 229","","Flushing","NY","Queens",="11354","","","501(c)(3) Public Charity","Housing services","","","L80 (Other Housing Support Services)","624229","8322","","","","HORAN MARTELLO MORRONE PC","http://www.guidestar.org/profile/11-2808943","http://www.guidestar.org/FinDocuments/2018/112/808/2018-112808943-16993269-Z.pdf","$21,713","$21,713","","$21,713","","","","$24","$24","$24","","","$0","$0","","$0","","","$70","","","","","","","","","","","","","","","","","","",""
"Yeshivas Ohr Hachaim","11-2808947","","","1986","","","500 Fashion Ave","","New York","NY","New York",="10018","","","501(c)(3) Public Charity","Elementary and secondary education","Judaism","","X30 (Jewish)","813110","8661","","","","","http://www.guidestar.org/profile/11-2808947","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Islip School Age Child Care Corporation","11-2810192","2018-07-01","2019-06-30","1995","2018","990","1 Winganhauppauge Rd","","Islip","NY","Suffolk",="11751","631-581-6041","N/A","501(c)(3) Public Charity","Elementary and secondary education","","","P33 (Child Day Care)","624410","8351","","N","","SHEEHAN & COMPANY CPA PC","http://www.guidestar.org/profile/11-2810192","http://www.guidestar.org/FinDocuments/2019/112/810/2019-112810192-17129879-9.pdf","$421,597","$421,525","","$421,597","","","$421,597","$394,425","$394,425","$4,652","","","","","$389,573","$0","$0","","$399,223","$215,209","$184,014","$0","$4,000","","","$15,818","","","","","","","","","","","","27"
"Christopher Sogluizzo Scholarship Trust Fund","11-2811588","","","1988","","","8315 263rd St","","Glen Oaks","NY","Queens",="11004","","","501(c)(3) Public Charity","Education","","","B82 (Scholarships, Student Financial Aid, Awards)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-2811588","http://www.guidestar.org/FinDocuments/2013/112/811/2013-112811588-0a91179e-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PTA New York Congress","11-2812507","","","1956","","","35carmanrddixhillsny1174","","Dixhills","NY","Suffolk",="11746","","","501(c)(3) Public Charity","Parent-teacher involvement","","","B94 (Parent Teacher Group)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-2812507","http://www.guidestar.org/FinDocuments/1998/112/812/1998-112812507-1-z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PTA New York Congress","11-2814654","","","1954","","","850 Main St","","Holbrook","NY","Suffolk",="11741","","","501(c)(3) Public Charity","Parent-teacher involvement","","","B94 (Parent Teacher Group)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-2814654","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hilton A. Vaughan Memorial Scholarship Fund","11-2814947","","","1986","","","PO Box 88212","","Indianapolis","IN","Marion",="46208","","","501(c)(3) Public Charity","Education","","","B82 (Scholarships, Student Financial Aid, Awards)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-2814947","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Youth With A Mission - New York","11-2815426","","","","","","1155 E Jersey St","","Elizabeth","NJ","Union",="07201","","","501(c)(3) Public Charity","Community service for youth","","","O51 (Youth Community Service Clubs)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-2815426","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"American Friends of Torah Center Memory of Cracow-Podgorze Martyrs","11-2816387","","","1986","","","1 Cathedral Dr","","Lakewood","NJ","Ocean",="08701","","","501(c)(3) Public Charity","Education","","","B99 (Education N.E.C.)","611","","","","","","http://www.guidestar.org/profile/11-2816387","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"The National Taiwan University Alum Assn of Greater New York Inc","11-2817290","","","2010","","","315 Melbourne Rd","","Great Neck","NY","Nassau",="11021","","","501(c)(3) Public Charity","Alumni relations","","","B84 (Alumni Associations)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-2817290","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Welfare Rights Network","11-2817795","","","1993","","","300 E 158th St Apt 12e","","Bronx","NY","Bronx",="10451","","","501(c)(3) Public Charity","Human services","","","P20 (Human Service Organizations)","624190","8322","","","","","http://www.guidestar.org/profile/11-2817795","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"National Organization for Women Inc","11-2822915","","","1979","","","PO Box 463","","Bay Shore","NY","Suffolk",="11706","","","501(c)(4) (Civic Leagues and Social Welfare Organizations)","Women's rights","","","R24 (Women's Rights)","813311","8399","","","","","http://www.guidestar.org/profile/11-2822915","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Suffolk Institute for Eastern Studies Inc","11-2823514","","","1988","","","24 Annandale Rd","","Stony Brook","NY","Suffolk",="11790","","","501(c)(3) Public Charity","Education","","","B99 (Education N.E.C.)","611","","","","","","http://www.guidestar.org/profile/11-2823514","http://www.guidestar.org/FinDocuments/2009/112/823/2009-112823514-05d6b700-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"National Council of Young Israel","11-2827541","","","1952","","","305 Church Ave","","Brooklyn","NY","Kings",="11218","","","501(c)(3) Public Charity","Education","","","B99 (Education N.E.C.)","611","","","","","","http://www.guidestar.org/profile/11-2827541","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kneseth Mordechay and Mosdos Sadagora Inc","11-2828423","","","1987","","","5911 16th Ave","","Brooklyn","NY","Kings",="11204","","","501(c)(3) Public Charity","Education","Judaism","","X99 (Religion Related, Spiritual Development N.E.C.)","813110","8661","","","","","http://www.guidestar.org/profile/11-2828423","http://www.guidestar.org/FinDocuments/2003/112/828/2003-112828423-1-9.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Stony Brook Child Care Services Inc","11-2828494","2017-09-01","2018-08-31","1990","2017","990","Stony Brook University S Dr","","Stony Brook","NY","Suffolk",="11794","631-632-6930","www.stonybrookedu/childcare","501(c)(3) Public Charity","Child care","","","P33 (Child Day Care)","624410","8351","","N","","GRANT THORNTON LLP","http://www.guidestar.org/profile/11-2828494","http://www.guidestar.org/FinDocuments/2018/112/828/2018-112828494-10690cbe-9.pdf","$2,718,731","$318,321","$557,914","$1,746,247","$609","$0","$1,745,638","$3,096,754","$3,109,482","$24,739","$810,220","$488,500","$14,810","$0","$2,241,332","$972,484","$0","$0","$3,099,053","$2,640,614","$447,942","$10,497","$19,270","$415","$675","$32,786","$0","$5,617","$275","$0","","$0","KAREN MENDELSOHN","","","","","162"
"AARP","11-2829394","","","1971","","","601 E St NW","","Washington","DC","District of Columbia",="20049","","","501(c)(4) (Civic Leagues and Social Welfare Organizations)","Senior services","","","P81 (Senior Centers/Services)","624120","8322","","","","","http://www.guidestar.org/profile/11-2829394","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spri","11-2841709","","","1990","","","1305 Cedar Dr","","Southold","NY","Suffolk",="11971","","","501(c)(3) Public Charity","Single parent support","","","P42 (Single Parent Agencies/Services)","624190","8322","","","","","http://www.guidestar.org/profile/11-2841709","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Main Street Legal Services Inc","11-2841751","2018-01-01","2018-12-31","1987","2018","990","2 Court Sq","","Long Island City","NY","Queens",="11101","718-340-4300","N/A","501(c)(3) Public Charity","Law education","Legal services","","Q70 (International Human Rights)","813311","8399","","N","","EFPR GROUP CPAS PLLC","http://www.guidestar.org/profile/11-2841751","http://www.guidestar.org/FinDocuments/2018/112/841/2018-112841751-17045726-9.pdf","$341,610","$341,610","","$307,486","","","$307,486","$375,542","$375,542","","$146,742","","","","$228,800","$34,124","$0","","$82,807","$79,433","$3,374","$0","","","","","","","","","","","MARY LU BILEK","","","","","1"
"Kayama Inc","11-2841756","2018-01-01","2018-12-31","1987","2018","990","1143 E 12th St","","Brooklyn","NY","Kings",="11230","718-692-1876","N/A","501(c)(3) Public Charity","Legal services","Family counseling","","X30 (Jewish)","813110","8661","","N","","HIRSCH OELBAUM BRAM & HANOVER CPA'S","http://www.guidestar.org/profile/11-2841756","http://www.guidestar.org/FinDocuments/2018/112/841/2018-112841756-17099021-9.pdf","$21,400","$21,400","","$21,400","","","$21,400","$41,517","$41,517","","$41,517","","","","","$0","$0","","$34,874","$28,217","$2,630","$4,027","","","","","","","$3,150","","","","YITZCHOK SKOLNIK","","","","","0"
"Taiwan Center Inc","11-2857501","2018-01-01","2018-12-31","1994","2018","990","13744 Northern Blvd","","Flushing","NY","Queens",="11354","718-445-7007","www.nytaiwancenter.us","501(c)(3) Public Charity","Human services","Youth services","Senior services","P28 (Neighborhood Center, Settlement House)","624190","8322","","N","N","WEI WEI & CO LLP","http://www.guidestar.org/profile/11-2857501","http://www.guidestar.org/FinDocuments/2018/112/857/2018-112857501-17125632-9.pdf","$1,834,969","$561,836","$0","$1,793,972","$221,731","","$1,572,241","$759,350","$790,404","$6,073","$533,043","$71,153","$11,468","$0","$135,399","$40,997","$0","","$447,868","$248,329","$199,539","$0","$9,532","$14,485","$0","$16,159","$0","$0","$0","$0","","$0","Hsiu-Jung Chen","Mrs. Esther Lin ","Ms. Sheila Lin ","Administration Manager","taiwancenter.ny@gmail.com","11"
"The Family of Many","11-2862246","","","1987","","","572 Pennsylvania Ave","","Elizabeth","NJ","Union",="07201","","","501(c)(7) (Social and Recreation Clubs)","Human services","","","P99 (Human Services - Multipurpose and Other N.E.C.)","624190","8322","","","","","http://www.guidestar.org/profile/11-2862246","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New York English School Inc","11-2863465","2011-04-01","2012-03-31","1988","2011","990","3550 157th St","","Flushing","NY","Queens",="11354","718-886-0886","","501(c)(3) Public Charity","Special needs education","","","B28 (Specialized Education Institutions/Schools for Visually or Hearing Impaired, Learning Disabled)","611699","7999","8299","","","Kenneth K Ho CPA","http://www.guidestar.org/profile/11-2863465","http://www.guidestar.org/FinDocuments/2012/112/863/2012-112863465-08f28076-Z.pdf","$9,861","$895","","-$91,296","","","","$55,251","$55,251","","","","","","$55,251","$101,157","$0","","$54,231","$40,904","$13,327","$0","$1,100","","","","","","","","","","","","","","",""
"Veterans of Foreign Wars of the United States Dept of New York","11-2864451","","","1972","","","26 Rolling Hills Dr","","Ridge","NY","Suffolk",="11961","","","501(c)(19) (Post or Organizations of War Veterans)","Special population support","","","W30 (Military/Veterans' Organizations)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-2864451","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Council of Jewish Organization of Flatbush Inc","11-2864728","2018-07-01","2019-06-30","1987","2018","990","1550 Coney Island Ave","","Brooklyn","NY","Kings",="11230","718-377-2900","WWW.COJOFLATBUSH.ORG","501(c)(3) Public Charity","Basic and emergency aid","Human services","","P01 (Alliance/Advocacy Organizations)","813319","8399","8641","N","","BKD LLP","http://www.guidestar.org/profile/11-2864728","http://www.guidestar.org/FinDocuments/2018/112/864/2018-112864728-17078167-9.pdf","$2,019,620","$66,650","$0","$1,212,857","$0","$0","$1,212,857","$4,025,594","$4,075,164","$0","$4,014,354","$3,735,347","-$14,230","$0","$0","$806,763","$0","$0","$3,910,774","$3,146,780","$630,466","$133,528","$0","$0","$0","$14,004","$0","$0","$0","$0","","$0","LOUIS WELZ","Mr. Yechezkel Pikus ","Mr. Yechezkel Pikus ","Executive Director","cojo@jewishcouncil.org","115"
"Civil Service Employees Association","11-2865345","","","1970","","","123 Chris Ln","","West Islip","NY","Suffolk",="11795","","","501(c)(5) (Labor, Agricultural and Horticultural Organizations)","Education","","","B03 (Professional Societies & Associations)","813920","8621","","","","","http://www.guidestar.org/profile/11-2865345","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brooklyn Heights Center for Counseling Inc","11-2865834","","","1991","","","142 Joralemon St","","Brooklyn","NY","Kings",="11201","","","501(c)(3) Public Charity","Family counseling","","","P46 (Family Counseling, Marriage Counseling)","624190","8322","","","","","http://www.guidestar.org/profile/11-2865834","http://www.guidestar.org/FinDocuments/1998/112/865/1998-112865834-1-9.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Carter G Woodson Cultural Literacy Boys & Girls Hs","11-2869589","","","1993","","","1700 Fulton St","","Brooklyn","NY","Kings",="11213","","","501(c)(3) Public Charity","Secondary education","","","B25 (Secondary/High School)","611110","8211","","","","","http://www.guidestar.org/profile/11-2869589","http://www.guidestar.org/FinDocuments/2009/112/869/2009-112869589-05b61cd0-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PTA New York Congress","11-2887701","","","1954","","","51 School St","","Ronkonkoma","NY","Suffolk",="11779","","","501(c)(3) Public Charity","Parent-teacher involvement","","","B94 (Parent Teacher Group)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-2887701","http://www.guidestar.org/FinDocuments/2011/112/887/2011-112887701-07cec3ec-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ninth Bomb Group Association Inc","11-2887982","","","1988","","","120 Croyden Ct","","Albertson","NY","Nassau",="11507","","","501(c)(19) (Post or Organizations of War Veterans)","Special population support","","","W30 (Military/Veterans' Organizations)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-2887982","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kodespa Inc","11-2888431","","","1988","","","1177 Nostrand Ave","","Brooklyn","NY","Kings",="11225","","","501(c)(3) Public Charity","Human rights","","","R99 (Civil Rights, Social Action, and Advocacy N.E.C.)","813311","8399","","","","","http://www.guidestar.org/profile/11-2888431","http://www.guidestar.org/FinDocuments/2007/112/888/2007-112888431-03ec6af1-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAKOR DISABILITY SERVICES","11-2889774","2018-07-01","2019-06-30","1989","2018","990","1552 38th St","","Brooklyn","NY","Kings",="11218","718-853-0900","WWW.MAKORDISABILITYSERVICES.ORG","501(c)(3) Public Charity","Supportive housing","Shelter and residential care","Developmental disability services","P70 (Residential, Custodial Care (Group Home))","623990","8361","","N","","BUNKER AND COMPANY CPA PLLC","http://www.guidestar.org/profile/11-2889774","http://www.guidestar.org/FinDocuments/2018/112/889/2018-112889774-10254a56-9.pdf","$24,336,856","$1,139,842","","$13,027,119","","","$13,027,119","$35,051,360","$35,051,360","$38,914","$1,108,043","$354,659","","","$33,884,886","$11,309,737","$1,718,220","","$34,539,475","$31,377,880","$3,006,356","$155,239","$36,619","$175,436","","$682,759","$503,330","","$17,814","","","","ELLIOT BROWNSTEIN","","Ms. Carol Sufian ","Chief Development Officer","csufian@makords.org","805"
"Friends of the Riverhead Free Library Inc","11-2890828","2018-05-01","2019-04-30","2001","2018","990EZ","PO Box 1341","","Riverhead","NY","Suffolk",="11901","631-208-3423","RIVER.SUFFOLK.LIB.NY.US","501(c)(3) Public Charity","Education","","","B11 (Single Organization Support)","813219","8399","","","","KAREN A HELINSKI CPA PLLC","http://www.guidestar.org/profile/11-2890828","http://www.guidestar.org/FinDocuments/2019/112/890/2019-112890828-10f15c46-Z.pdf","$59,652","$59,652","","$59,614","","","","$30,691","$40,598","$597","$12,106","","$17,988","","","$38","","","$30,658","","","","","","","","","","","","","","","","","","",""
"Park House Inc Po Box 982","11-2895477","2015-01-01","2015-12-31","1993","2015","990","191 Bethpage Sweet Hollow Rd","","Old Bethpage","NY","Nassau",="11804","516-870-1600","","501(c)(3) Public Charity","Supportive housing","","","P70 (Residential, Custodial Care (Group Home))","623990","8361","","N","","CERINI AND ASSOCIATES LLP","http://www.guidestar.org/profile/11-2895477","http://www.guidestar.org/FinDocuments/2015/112/895/2015-112895477-0cf42a4b-9.pdf","$3,145,802","$1,825,379","","$2,306,582","$23,623","","$2,282,959","$1,648,687","$1,648,687","","","","","","$1,497,635","$839,220","$233,702","","$1,504,517","$1,338,970","$165,547","$0","","","$9,750","$29,865","$9,631","","","","","","ROBERT S BUDD","","","","","36"
"Nassau County Community Residential Project Inc","11-2897827","","","1988","","","189 Wheatley Rd","","Glen Head","NY","Nassau",="11545","","","501(c)(3) Public Charity","Human services","","","P99 (Human Services - Multipurpose and Other N.E.C.)","624190","8322","","","","","http://www.guidestar.org/profile/11-2897827","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Youth Outreach Program, Inc.","11-2902051","","","1988","","","809 Cross Bay Blvd","","Broad Channel","NY","Queens",="11693","","","501(c)(3) Private Nonoperating Foundation","Human services","","","P99 (Human Services - Multipurpose and Other N.E.C.)","624190","8322","","","","","http://www.guidestar.org/profile/11-2902051","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PTA New York Congress","11-2902367","","","1954","","","PO Box 732","","Syosset","NY","Nassau",="11791","","","501(c)(3) Public Charity","Parent-teacher involvement","","","B94 (Parent Teacher Group)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-2902367","http://www.guidestar.org/FinDocuments/2010/112/902/2010-112902367-0674af41-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Masores Bais Yaakov","11-2902382","","","1990","","","1395 Ocean Ave","","Brooklyn","NY","Kings",="11230","","","501(c)(3) Public Charity","Elementary and secondary education","","","Z99 (Unknown)","","","","","","","http://www.guidestar.org/profile/11-2902382","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U S Council for Human Rights in the Balkans","11-2909775","","","1989","","","150 52 Melbourne Ave Ste 256 A","","Flushing","NY","Queens",="11367","","","501(c)(3) Private Nonoperating Foundation","Antidiscrimination","","","R20 (Civil Rights, Advocacy for Specific Groups)","813311","8399","","","","","http://www.guidestar.org/profile/11-2909775","http://www.guidestar.org/FinDocuments/2012/112/909/2012-112909775-093e0747-F.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PTA New York Congress","11-2912229","","","1954","","","3000 Bellmore Ave","","Bellmore","NY","Nassau",="11710","","","501(c)(3) Public Charity","Parent-teacher involvement","","","B94 (Parent Teacher Group)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-2912229","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Theta Phi Alpha Fraternity","11-2914027","","","1978","","","27025 Knickerbocker Rd","","Bay Village","OH","Cuyahoga",="44140","","","501(c)(7) (Social and Recreation Clubs)","Sororities and fraternities","","","B83 (Student Sororities, Fraternities)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-2914027","http://www.guidestar.org/FinDocuments/2010/112/914/2010-112914027-0727a654-ZO.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Innerlight Center Inc","11-2917002","","","1990","","","PO Box 970","","Black Mountain","NC","Buncombe",="28711","","","501(c)(3) Public Charity","Education","","","B99 (Education N.E.C.)","611","","","","","","http://www.guidestar.org/profile/11-2917002","http://www.guidestar.org/FinDocuments/2011/112/917/2011-112917002-0795adbf-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"American Friends of the Museum of the Mikveh, Inc.","11-2918759","","","1989","","","1360 44th St","","Brooklyn","NY","Kings",="11219","","","501(c)(3) Private Nonoperating Foundation","Education","","","B99 (Education N.E.C.)","611","","","","","","http://www.guidestar.org/profile/11-2918759","http://www.guidestar.org/FinDocuments/2000/112/918/2000-112918759-1-f.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"American Center for Senior Citizen Services","11-2918761","2018-01-01","2018-12-31","1991","2018","990","146 South Country Road 3","","Bellport","NY","Suffolk",="11713","631-286-0058","N/A","501(c)(3) Public Charity","Senior services","","","P81 (Senior Centers/Services)","624120","8322","","N","N","NAWROCKI SMITH LLP","http://www.guidestar.org/profile/11-2918761","http://www.guidestar.org/FinDocuments/2018/112/918/2018-112918761-17020245-9.pdf","$144,010","$66,024","$0","-$6,167","","","-$6,167","$487,067","$487,067","$48","$485,716","$457,670","$0","$0","$0","$150,177","$0","","$477,881","$387,244","$90,637","$0","$32,500","$700","$0","$0","$0","$0","$0","$0","","$0","","","","","","10"
"American Friends of Yeshiva Talmud Torah of K Far Chabad","11-2926939","","","1994","","","3004 W Hood Ave","","Chicago","IL","Cook",="60659","","","501(c)(3) Public Charity","Education","","","B99 (Education N.E.C.)","611","","","","","","http://www.guidestar.org/profile/11-2926939","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PTA New York Congress","11-2926976","","","1954","","","610 Gardiners Ave","","Levittown","NY","Nassau",="11756","","","501(c)(3) Public Charity","Parent-teacher involvement","","","B94 (Parent Teacher Group)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-2926976","http://www.guidestar.org/FinDocuments/2015/112/926/2015-112926976-0c0ba984-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PTA New York Congress","11-2927496","","","1954","","","2 Oldfield Rd","","Greenlawn","NY","Suffolk",="11740","","","501(c)(3) Public Charity","Parent-teacher involvement","","","B94 (Parent Teacher Group)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-2927496","http://www.guidestar.org/FinDocuments/2010/112/927/2010-112927496-06a0b0a0-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Priests Alumni Assoc of the Seminary of the Immaculate Concept","11-2931042","","","1989","","","440 W Neck Rd","","Huntington","NY","Suffolk",="11743","","","501(c)(3) Public Charity","Graduate and professional education","","","B50 (Graduate, Professional(Separate Entities))","611310","8221","","","","","http://www.guidestar.org/profile/11-2931042","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Womens Alternatives Community Center Inc","11-2931048","","","1989","","","15 Court St","","Merrick","NY","Nassau",="11566","","","501(c)(3) Public Charity","Women's services","","","","","","","","","","http://www.guidestar.org/profile/11-2931048","http://www.guidestar.org/FinDocuments/2007/112/931/2007-112931048-0429a039-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Harleycare Inc","11-2931293","2017-07-01","2018-06-30","1996","2017","990","30 Harley Ave","","East Northport","NY","Suffolk",="11731","631-266-6220","ELWOODCARE.COM","501(c)(3) Public Charity","Child care","","","P33 (Child Day Care)","624410","8351","","N","N","PRESTON & LAGOMARSINO CPA PC","http://www.guidestar.org/profile/11-2931293","http://www.guidestar.org/FinDocuments/2018/112/931/2018-112931293-109280aa-9.pdf","$262,764","$257,722","$0","$262,263","","","$262,263","$545,684","$545,684","$316","$0","","$0","$0","$545,368","$501","$0","","$528,457","$373,262","$155,195","$0","$8,000","$416","$0","$55,383","$0","$0","$0","$0","","$0","ERIKA R MARESCA","","","","","32"
"Emerald Isle Immigration Center Inc","11-2932528","2018-07-01","2019-06-30","1989","2018","990","5926 Woodside Ave","","Woodside","NY","Queens",="11377","718-478-5502","WWW.EIIC.ORG","501(c)(3) Public Charity","Human services","Immigrant services","","P84 (Ethnic/Immigrant Services)","624190","8322","","N","","DIMAGGIO & ROCCAMO CPAS LLP","http://www.guidestar.org/profile/11-2932528","http://www.guidestar.org/FinDocuments/2019/112/932/2019-112932528-17119373-9.pdf","$1,285,390","$67,155","","$713,445","","$104,294","$609,151","$1,499,506","$1,540,901","$42","$303,507","","$97,655","","$1,098,459","$571,945","$451,765","","$1,532,648","$1,296,276","$236,372","$0","$32,000","$17,459","","$9,421","$29,717","","","$9,901","","","SIOBHAN DENNEHY","","","","","36"
"PTA New York Congress","11-2932907","","","1954","","","2501 Milburn Ave","","Baldwin","NY","Nassau",="11510","","","501(c)(3) Public Charity","Parent-teacher involvement","","","B94 (Parent Teacher Group)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-2932907","http://www.guidestar.org/FinDocuments/2012/112/932/2012-112932907-08f20c65-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OPPORTUNITIES FOR A BETTER TOMORROW INC","11-2934620","2018-07-01","2019-06-30","1990","2018","990","783 4th Ave","","Brooklyn","NY","Kings",="11232","(718) 369-0303","www.obtjobs.org","501(c)(3) Public Charity","Youth organizing","Education services","Employment","J20 (Employment Procurement Assistance and Job Training)","624310","8331","","Y","","SKODY SCOT & CO CPAS PC","http://www.guidestar.org/profile/11-2934620","http://www.guidestar.org/FinDocuments/2018/112/934/2018-112934620-106bb935-9.pdf","$1,676,032","$170,227","","$1,390,834","$154,487","","$1,236,347","$7,836,948","$7,860,047","$458","$1,830,302","","$40,235","","$5,948,978","$285,198","$0","","$8,557,954","$7,097,853","$1,281,170","$178,931","$40,000","$18,016","$1,667","$52,027","","","","","","","LILIANA POLO-MCKENNA","Dr. Liliana Polo-McKenna Ed.L.D.","Dr, Liliana Polo-McKenna Ed.L.D","Chief Executive Officer","lpolo@obtjobs.org","140"
